measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,90-94,Total cancers,Percent,2013,0.10314977091470723,0.11360949919764476,0.08316806044317401
Deaths,Global,Both,50-74 years,Total cancers,Percent,2013,0.24933176353193495,0.2542289929085717,0.242996528307037
Deaths,Global,Both,10-24 years,Total cancers,Percent,2013,0.06221855044672035,0.06532955317797788,0.05873317832359483
Deaths,Global,Both,10-19 years,Total cancers,Percent,2013,0.0661931279162589,0.07043809650811411,0.06177064167879053
Deaths,Global,Both,10 to 54 years,Total cancers,Percent,2013,0.15488551922453142,0.15905728890958626,0.1503293292474054
Deaths,Global,Both,5-19 years,Total cancers,Percent,2013,0.06527122831669054,0.06964467205532963,0.06042471012836509
Deaths,Global,Both,15-39 years,Total cancers,Percent,2013,0.08435360803034107,0.08773872299325358,0.08008062602753116
Deaths,Global,Both,25-49 years,Total cancers,Percent,2013,0.14723745757165507,0.15196686011667093,0.1425200245756046
Deaths,Global,Both,55+ years,Total cancers,Percent,2013,0.19670499161886504,0.2025256478585929,0.18632646374147602
Deaths,Global,Both,60-79 years,Total cancers,Percent,2013,0.23153386685202682,0.23648507365868518,0.22348863052812004
Deaths,Global,Both,65-74 years,Total cancers,Percent,2013,0.2383588245236326,0.24327753438742122,0.23043935368255059
Deaths,Global,Both,75-84 years,Total cancers,Percent,2013,0.17692176034072266,0.1832644085558326,0.16395701471620797
Deaths,Global,Both,20-54 years,Total cancers,Percent,2013,0.16314798357914992,0.16758283315257255,0.15863175487747988
Deaths,Global,Both,55-89 years,Total cancers,Percent,2013,0.2068257721130541,0.21232222987370244,0.19703396650809046
Deaths,Global,Both,60-89 years,Total cancers,Percent,2013,0.20075705281203698,0.2064754033719937,0.1901645276122003
Deaths,Global,Both,65-89 years,Total cancers,Percent,2013,0.19066430487470903,0.19661940100107142,0.17869908820216307
Deaths,Global,Both,70-89 years,Total cancers,Percent,2013,0.17812854123154398,0.18433544489969694,0.16500265936747546
Deaths,Global,Both,75-94 years,Total cancers,Percent,2013,0.15613421849304635,0.1635920153434521,0.14069765805100345
Deaths,Global,Both,1-4 years,Total cancers,Percent,1995,0.015335999318205245,0.02030889429453677,0.010808269267855884
Deaths,Global,Both,5-9 years,Total cancers,Percent,1995,0.050637401616675154,0.05888279331238968,0.04305754075316189
Deaths,Global,Both,10-14 years,Total cancers,Percent,1995,0.0706430435782094,0.07768407944766452,0.06323490133885423
Deaths,Global,Both,15-19 years,Total cancers,Percent,1995,0.053482658513660054,0.05675643100171311,0.04956698201657662
Deaths,Global,Both,20-24 years,Total cancers,Percent,1995,0.04999860830268624,0.0529743612289246,0.04650281469831293
Deaths,Global,Both,25-29 years,Total cancers,Percent,1995,0.06184676890409067,0.06617433604255556,0.05711063940316361
Deaths,Global,Both,30-34 years,Total cancers,Percent,1995,0.0876261186534086,0.09335223099069155,0.08146959765687489
Deaths,Global,Both,35-39 years,Total cancers,Percent,1995,0.12109389973616931,0.12736719621403517,0.11361068588400661
Deaths,Global,Both,40-44 years,Total cancers,Percent,1995,0.16991191270025305,0.17628198992677555,0.16299556845638574
Deaths,Global,Both,45-49 years,Total cancers,Percent,1995,0.20787106276416045,0.21419857054050495,0.2015955954637323
Deaths,Global,Both,50-54 years,Total cancers,Percent,1995,0.22855008883686478,0.23445109761098878,0.22286528051576585
Deaths,Global,Both,55-59 years,Total cancers,Percent,1995,0.2427055580293592,0.247954329765053,0.23726752579214502
Deaths,Global,Both,60-64 years,Total cancers,Percent,1995,0.2356024741553841,0.24071514768539107,0.23015784537297776
Deaths,Global,Both,65-69 years,Total cancers,Percent,1995,0.22544530149362263,0.22968819533399434,0.22027388713417204
Deaths,Global,Both,70-74 years,Total cancers,Percent,1995,0.1990215302573261,0.20317938018152343,0.19336302734477545
Deaths,Global,Both,75-79 years,Total cancers,Percent,1995,0.16485260460213202,0.1690573726092492,0.15760679082631443
Deaths,Global,Both,5-14 years,Total cancers,Percent,1995,0.05800490629477005,0.06535431373117369,0.050380054477598
Deaths,Global,Both,15-49 years,Total cancers,Percent,1995,0.12241424265657327,0.1274446598770624,0.11698830539944757
Deaths,Global,Both,50-69 years,Total cancers,Percent,1995,0.23251687276075572,0.23733522830421638,0.2272241635318192
Deaths,Global,Both,80-84,Total cancers,Percent,1995,0.12955910827294595,0.13447109472673896,0.11936228533322843
Deaths,Global,Both,85-89,Total cancers,Percent,1995,0.10530230234211746,0.11145037506198952,0.09251732482990457
Deaths,Global,Both,90-94,Total cancers,Percent,1995,0.08139021796385144,0.08841734588024916,0.06794050018734082
Deaths,Global,Both,50-74 years,Total cancers,Percent,1995,0.22329384626842827,0.2277180901578444,0.21821209333374766
Deaths,Global,Both,10-24 years,Total cancers,Percent,1995,0.05585891697628127,0.05945637100560141,0.05205780811118233
Deaths,Global,Both,10-19 years,Total cancers,Percent,1995,0.06049366610271038,0.0650076856988298,0.05570814838702923
Deaths,Global,Both,10 to 54 years,Total cancers,Percent,1995,0.13987851803513343,0.14491881424168712,0.13465666496051137
Deaths,Global,Both,5-19 years,Total cancers,Percent,1995,0.05643154444209086,0.06208272047050946,0.050542451451658976
Deaths,Global,Both,15-39 years,Total cancers,Percent,1995,0.0792144245250713,0.08339099571330713,0.07466953536133414
Deaths,Global,Both,25-49 years,Total cancers,Percent,1995,0.13950096355845873,0.1452945537885293,0.1332141570183134
Deaths,Global,Both,55+ years,Total cancers,Percent,1995,0.17814501555860165,0.1823617797428979,0.17133158046269467
Deaths,Global,Both,60-79 years,Total cancers,Percent,1995,0.20425780262908053,0.20813429756942456,0.1986565812966852
Deaths,Global,Both,65-74 years,Total cancers,Percent,1995,0.2115582650372165,0.2155458113187105,0.20628513388842026
Deaths,Global,Both,75-84 years,Total cancers,Percent,1995,0.14736922791613788,0.15181191725282525,0.13886900685598838
Deaths,Global,Both,20-54 years,Total cancers,Percent,1995,0.14950549021891654,0.1549593595767227,0.1436713396118412
Deaths,Global,Both,55-89 years,Total cancers,Percent,1995,0.18498886062657657,0.18910775568662644,0.17864318180862238
Deaths,Global,Both,60-89 years,Total cancers,Percent,1995,0.1785823355490695,0.18263071063981692,0.1718001711758533
Deaths,Global,Both,65-89 years,Total cancers,Percent,1995,0.1690539603679822,0.17320473216562524,0.16169396320644489
Deaths,Global,Both,70-89 years,Total cancers,Percent,1995,0.15448253927347025,0.15887003986470163,0.14642618622945233
Deaths,Global,Both,75-94 years,Total cancers,Percent,1995,0.1308891042013078,0.1358378546806136,0.12108685136755419
Deaths,Global,Both,1-4 years,Total cancers,Percent,1996,0.015189810308426142,0.020019578072389285,0.010818696450162526
Deaths,Global,Both,5-9 years,Total cancers,Percent,1996,0.051248138564678816,0.05953722294840278,0.04374588609118231
Deaths,Global,Both,10-14 years,Total cancers,Percent,1996,0.07169933354390921,0.07871397778238774,0.06441864823436981
Deaths,Global,Both,15-19 years,Total cancers,Percent,1996,0.05377932806909295,0.056923941908072685,0.04989574840047775
Deaths,Global,Both,20-24 years,Total cancers,Percent,1996,0.04955276377460039,0.05253397679437982,0.046182248291761666
Deaths,Global,Both,25-29 years,Total cancers,Percent,1996,0.06141551728644761,0.06607130209577412,0.05646355620709005
Deaths,Global,Both,30-34 years,Total cancers,Percent,1996,0.08812318028025978,0.09420051290533983,0.08168968020579155
Deaths,Global,Both,35-39 years,Total cancers,Percent,1996,0.11996618452741316,0.12686941392936102,0.11204111081567975
Deaths,Global,Both,40-44 years,Total cancers,Percent,1996,0.16956297386662217,0.1761212098058301,0.16291328941364203
Deaths,Global,Both,45-49 years,Total cancers,Percent,1996,0.20804173216438032,0.21390132691310668,0.20181894883991341
Deaths,Global,Both,50-54 years,Total cancers,Percent,1996,0.2289336648938418,0.23438334777470918,0.2234330637465498
Deaths,Global,Both,55-59 years,Total cancers,Percent,1996,0.2432212771355788,0.24819358707362363,0.2383937504842535
Deaths,Global,Both,60-64 years,Total cancers,Percent,1996,0.23609976756683343,0.24080139287381905,0.2311098504617962
Deaths,Global,Both,65-69 years,Total cancers,Percent,1996,0.22623803012945304,0.23012271329647707,0.2212165103191506
Deaths,Global,Both,70-74 years,Total cancers,Percent,1996,0.20070136854091963,0.20480387598542615,0.19532091978245175
Deaths,Global,Both,75-79 years,Total cancers,Percent,1996,0.1677047665042934,0.17192658407362596,0.16041996071700046
Deaths,Global,Both,5-14 years,Total cancers,Percent,1996,0.05886805034855057,0.06630841929852441,0.051501897055146253
Deaths,Global,Both,15-49 years,Total cancers,Percent,1996,0.12273716030233575,0.1280664033565775,0.11706382546502818
Deaths,Global,Both,50-69 years,Total cancers,Percent,1996,0.23305437229343282,0.2376496084695518,0.22833076360386662
Deaths,Global,Both,80-84,Total cancers,Percent,1996,0.131258028510388,0.13630537796440106,0.12074117568689101
Deaths,Global,Both,85-89,Total cancers,Percent,1996,0.10692496508126018,0.11327814057583138,0.09400534763206655
Deaths,Global,Both,90-94,Total cancers,Percent,1996,0.0827535269805001,0.08997543972602334,0.06902239003180594
Deaths,Global,Both,50-74 years,Total cancers,Percent,1996,0.22402409888198607,0.22817885789811818,0.21936648373792622
Deaths,Global,Both,10-24 years,Total cancers,Percent,1996,0.05599445483904816,0.05967568514678008,0.052091369080449576
Deaths,Global,Both,10-19 years,Total cancers,Percent,1996,0.06112581373013823,0.06573615274911376,0.05628088626396633
Deaths,Global,Both,10 to 54 years,Total cancers,Percent,1996,0.14010282580600364,0.14534200622394222,0.134516122794956
Deaths,Global,Both,5-19 years,Total cancers,Percent,1996,0.05709125602126969,0.06270545424788965,0.05133496363641418
